respondent_id,persona,age_ordinal,income_ordinal,income_midpoint_AED,wardrobe_count,shopping_freq_ordinal,spend_per_kurti_ordinal,spend_per_kurti_midpoint_AED,bundle_budget_ordinal,bundle_budget_midpoint_AED,return_anxiety_ordinal,purchase_intent_ordinal,purchase_intent_binary,occ_student,occ_working_professional,occ_self-employed_freelancer,occ_homemaker,occ_other,eth_south_asian,eth_arab_middle_eastern,eth_southeast_asian,eth_african,eth_western_european,eth_other,fit_relaxed,fit_regular,fit_slim,fit_flared,fashion_id_1,fashion_id_2,fashion_id_3,fashion_id_4,fashion_id_5,ret_yes_frequently,ret_sometimes,ret_rarely,ret_never,brand_libas,brand_biba,brand_w_for_woman,brand_anouk_myntra,brand_meesho_unbranded_sellers,brand_local_uae_stores_boutiques,brand_buy_during_india_visits,brand_instagram_whatsapp_small_brands,brand_i_dont_buy_kurtis_currently,channel_online_marketplaces_amazon_noon_namshi,channel_brand_websites_d2c_online_stores,channel_instagram_social_media_shops,channel_physical_stores_malls_in_uae,channel_buy_from_india_trips_or_family_shipments,channel_whatsapp_based_sellers,trigger_upcoming_festival_occasion,trigger_sale_or_discount_offer,trigger_saw_something_trending_on_social_media,trigger_need_for_daily_work_wardrobe_refresh,trigger_new_season_or_collection_drop,trigger_gift_for_someone,trigger_impulse_mood_shopping,style_straight_cut,style_a_line,style_shirt_style_collar,style_anarkali_short_flared,style_peplum,style_asymmetric_high_low_hem,style_crop_kurti,style_kaftan_style,fabric_pure_cotton,fabric_cotton_linen_blend,fabric_rayon,fabric_georgette_chiffon,fabric_silk_chanderi,fabric_muslin,fabric_denim_look_fabric,fabric_no_preference,color_pastels_peach_lavender_mint_blush,color_earthy_tones_mustard_rust_olive_brown,color_jewel_tones_emerald_maroon_royal_blue_de,color_neutrals_black_white_beige_grey,color_bright_pop_colors_red_yellow_hot_pink_or,color_multi_color_prints,print_florals,print_geometric_abstract,print_block_print_jaipur_print,print_solid_plain,print_stripes_checks,print_embroidered_thread_work,print_mirror_work_sequins,print_digital_contemporary_prints,sleeve_full_sleeves,sleeve_3_4th_sleeves,sleeve_short_half_sleeves,sleeve_sleeveless,sleeve_bell_statement_sleeves,neck_round_neck,neck_v_neck,neck_mandarin_band_collar,neck_boat_neck,neck_shirt_collar,neck_keyhole_cut_out,length_hip_length_above_mid_thigh,length_mid_thigh,length_just_above_knee,length_knee_length,bottom_jeans_denim,bottom_leggings_jeggings,bottom_palazzo_pants,bottom_cigarette_straight_pants,bottom_skirts,bottom_dhoti_pants_tulip_pants,bottom_sharara,occasion_daily_college_university_wear,occasion_office_workplace,occasion_casual_outings_errands,occasion_festivals_diwali_eid_etc,occasion_family_gatherings_dinners,occasion_parties_date_nights,occasion_weekend_lounging,occasion_i_dont_wear_kurtis_currently,pack_campus_essentials_3_daily_wear_cotton_ku,pack_festive_glow_2_embroidered_silk_kurtis,pack_9_to_5_edit_3_workwear_kurtis,pack_vibe_check_drop_1_trendy_statement_piece,pack_none___i_prefer_buying_single_pieces,discount_flat_percentage_off_eg_20%_off,discount_buy_2_get_1_free,discount_free_delivery,discount_combo_price_lower_than_individual_total,discount_first_order_discount,discount_referral_rewards,discount_i_dont_need_discounts___i_buy_if_i_like_,pain_sizing_is_inconsistent_across_brands,pain_fabric_quality_doesnt_match_product_phot,pain_limited_trendy_options_for_short_kurtis,pain_too_expensive_for_the_quality_offered,pain_poor_delivery_experience_to_uae_slow_dam,pain_difficult_or_costly_returns,pain_cant_find_good_curated_sets_bundles,pain_not_enough_options_for_my_size,pain_no_major_frustrations
R0001,professional,4.0,1.0,1500.0,16.0,3.0,4.0,125.0,4.0,215.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
R0002,non_customer,2.0,0.0,0.0,9.0,1.0,1.0,15.0,2.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
R0003,trend,2.0,3.0,9500.0,0.0,,3.0,80.0,,,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
R0004,festive,,3.0,9500.0,9.0,6.0,5.0,200.0,4.0,215.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R0005,campus,2.0,1.0,1500.0,3.0,3.0,2.0,45.0,1.0,40.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0006,campus,3.0,0.0,0.0,25.0,,4.0,125.0,1.0,40.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
R0007,campus,2.0,1.0,1500.0,3.0,4.0,2.0,45.0,3.0,150.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
R0008,minimalist,3.0,0.0,0.0,25.0,4.0,3.0,80.0,4.0,215.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0009,festive,4.0,2.0,5000.0,25.0,3.0,5.0,200.0,,,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
R0010,trend,4.0,1.0,1500.0,16.0,4.0,3.0,80.0,2.0,100.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
